getpwuid_r did not find a match for uid 501
Filtering the log data using "processImagePath CONTAINS "ClaudeCodeUI""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-08-21 00:35:42.806033-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2025-08-21 00:35:42.806230-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2025-08-21 00:35:42.806291-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2025-08-21 00:35:42.806512-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2025-08-21 00:35:42.806525-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2025-08-21 00:35:42.806616-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002102080>
2025-08-21 00:35:42.806624-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2025-08-21 00:35:42.807093-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002102080>
2025-08-21 00:35:42.807095-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x600001704ac0; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2025-08-21 00:35:42.807131-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600001708d00>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 44412 (elapsed = 0).
2025-08-21 00:35:42.807260-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c24000 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2025-08-21 00:35:42.807359-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2025-08-21 00:35:42.807489-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c24000 com.apple.frontboard.systemappservices> sent handshake
2025-08-21 00:35:42.807811-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x600000214500>
2025-08-21 00:35:42.809024-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2025-08-21 00:35:42.809210-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x105906e70> for initial
2025-08-21 00:35:42.809438-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x105906e70> for CADisplay KVO
2025-08-21 00:35:42.809727-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSceneSettings> on FBSSceneSettings
2025-08-21 00:35:42.810030-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2025-08-21 00:35:42.810591-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2025-08-21 00:35:42.811002-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2025-08-21 00:35:42.811375-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2025-08-21 00:35:42.811554-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2025-08-21 00:35:42.811637-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2025-08-21 00:35:42.811662-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2025-08-21 00:35:42.811808-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2025-08-21 00:35:42.812090-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2025-08-21 00:35:42.812238-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2025-08-21 00:35:42.812326-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringSettings> on FBSSceneSettings
2025-08-21 00:35:42.812610-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2025-08-21 00:35:42.812778-0400 0x105e0b   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2025-08-21 00:35:42.813051-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2025-08-21 00:35:42.823935-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2025-08-21 00:35:42.824614-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
2025-08-21 00:35:42.824788-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2025-08-21 00:35:42.824865-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2025-08-21 00:35:42.988787-0400 0x105e13   Activity    0x375c92             82435  0    ClaudeCodeUI: (CoreFoundation) Updating Key-Value Observers Of Preferences
2025-08-21 00:35:42.994509-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2025-08-21 00:35:42.994579-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-08-21 00:35:42.994644-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-08-21 00:35:42.994732-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-08-21 00:35:42.994905-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 11; deactivation reasons: 1024 -> 3072; animating application lifecycle event: 0
2025-08-21 00:35:42.995079-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:ViewServices] Launching as view service: NO
2025-08-21 00:35:42.999165-0400 0x105e0d   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:connection] [0x104f068a0] activating connection: mach=true listener=false peer=false name=com.apple.fontservicesd
2025-08-21 00:35:43.018976-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason removed: 10; deactivation reasons: 3072 -> 2048; animating application lifecycle event: 0
2025-08-21 00:35:43.019896-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Touch: not found, path="/System/Library/EventTimingProfiles/Sim.Touch.plist"
2025-08-21 00:35:43.019925-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Pencil: not found, path="/System/Library/EventTimingProfiles/Sim.Pencil.plist"
2025-08-21 00:35:43.019966-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=LCD (PurpleMain), id=1
2025-08-21 00:35:43.023163-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:connection] [0x105108140] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-08-21 00:35:43.024676-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Will add backgroundTask with taskName: Persistent SceneSession Map Update, expirationHandler: <__NSGlobalBlock__: 0x1e6a3b638>
2025-08-21 00:35:43.024711-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Reusing background assertion <BKSProcessAssertion: 0x600002102080>
2025-08-21 00:35:43.024726-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002102080>
2025-08-21 00:35:43.024749-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x6000017a7cc0>: taskID = 2, taskName = Persistent SceneSession Map Update, creationTime = 44412 (elapsed = 0).
2025-08-21 00:35:43.024860-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 5; deactivation reasons: 2048 -> 2080; animating application lifecycle event: 1
2025-08-21 00:35:43.024984-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 2 -> 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.025100-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.025741-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x600002949dc0>; with scene: <UIWindowScene: 0x10510c010>
2025-08-21 00:35:43.025864-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (BacklightServices) [com.apple.BacklightServices:scenes] 0x600000d1a7c0 setDelegate:<0x600000d18ae0 _UIBacklightEnvironment> hasDelegate:YES for environment:sceneID:com.claudecode.ui-default
2025-08-21 00:35:43.026078-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.026125-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002949e30] Initialized with scene: <UIWindowScene: 0x10510c010>; behavior: <_UIEventDeferringBehavior_iOS: 0x60000023a4c0>; availableForProcess: 1, systemShellManagesKeyboardFocus: 1
2025-08-21 00:35:43.027053-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000210d950; process scope; status: target> was:none
2025-08-21 00:35:43.027075-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to LastOneWins
2025-08-21 00:35:43.027092-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x10510c010; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.claudecode.ui-default
2025-08-21 00:35:43.027116-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002949e30] Scene target of event deferring environments did update: scene: 0x10510c010; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
2025-08-21 00:35:43.027131-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene became target of keyboard event deferring environment: UIWindowScene: 0x10510c010; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.claudecode.ui-default
2025-08-21 00:35:43.027147-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to SystemShellManaged
2025-08-21 00:35:43.027176-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 0; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x10510c010; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x0; reason: UIWindowScene: 0x10510c010: Window scene became target of keyboard environment
2025-08-21 00:35:43.027895-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.028216-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.028571-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.029957-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (PrototypeTools) [PrototypeTools:domain] Not observing PTDefaults on customer install.
2025-08-21 00:35:43.032123-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Orientation] <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D) Scene updated orientation preferences: none -> ( Pu Ll Lr )
2025-08-21 00:35:43.032279-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window API is scene-level: YES
2025-08-21 00:35:43.032301-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] UIWindowScene: 0x10510c010: Window became key in scene: UIWindow: 0x1050091b0; contextId: 0x6A63DAF5: reason: UIWindowScene: 0x10510c010: Window requested to become key in scene: 0x1050091b0
2025-08-21 00:35:43.032318-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 1; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x10510c010; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x1050091b0; reason: UIWindowScene: 0x10510c010: Window requested to become key in scene: 0x1050091b0
2025-08-21 00:35:43.032340-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:KeyWindow] Window did become application key: UIWindow: 0x1050091b0; contextId: 0x6A63DAF5; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.claudecode.ui-default
2025-08-21 00:35:43.032375-0400 0x105dbc   Default     0x0                  82435  1    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002949e30] Begin local event deferring requested for token: 0x600002628a80; environments: 1; reason: UIWindowScene: 0x10510c010: Begin event deferring in keyboardFocus for window: 0x1050091b0
2025-08-21 00:35:43.032681-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.032806-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:com.claudecode.ui-default  persistentID: 7527E762-B4AA-4A19-B529-28EBE638079D
2025-08-21 00:35:43.032911-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Ignoring already applied deactivation reason: 5; deactivation reasons: 2080
2025-08-21 00:35:43.032942-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 12; deactivation reasons: 2080 -> 6176; animating application lifecycle event: 1
2025-08-21 00:35:43.032999-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason removed: 11; deactivation reasons: 6176 -> 4128; animating application lifecycle event: 1
2025-08-21 00:35:43.033000-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000210d950; token: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.claudecode.ui-default; status: ancestor> was:target
2025-08-21 00:35:43.033071-0400 0x105e13   Default     0x0                  82435  0    ClaudeCodeUI: (BackBoardServices) [com.apple.BackBoard:EventDelivery] observerPolicyDidChange: 0x60000210d950 -> <_UIKeyWindowSceneObserver: 0x600000d1af10>
2025-08-21 00:35:43.033103-0400 0x105e12   Default     0x0                  82435  0    ClaudeCodeUI: (UIIntelligenceSupport) [com.apple.UIIntelligenceSupport:xpc] establishing connection to agent
2025-08-21 00:35:43.033380-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x10510c010> (7527E762-B4AA-4A19-B529-28EBE638079D)
2025-08-21 00:35:43.033317-0400 0x105e12   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:session] [0x6000021498b0] Session created.
2025-08-21 00:35:43.033503-0400 0x105e12   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:session] [0x6000021498b0] Session created from connection [0x600003d5fed0]
2025-08-21 00:35:43.033722-0400 0x105e12   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d5fed0] activating connection: mach=true listener=false peer=false name=com.apple.uiintelligencesupport.agent
2025-08-21 00:35:43.033856-0400 0x105e12   Default     0x0                  82435  0    ClaudeCodeUI: (libxpc.dylib) [com.apple.xpc:session] [0x6000021498b0] Session activated
2025-08-21 00:35:43.034720-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (Network) [com.apple.network:activity] Create activity from XPC object <nw_activity 50:1 [C7C33207-D770-49CB-81EC-00CB9E486B15] (reporting strategy default)>
2025-08-21 00:35:43.034742-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (Network) [com.apple.network:activity] Create activity from XPC object <nw_activity 50:2 [F680AF6F-625C-4F0B-B758-B433A71EAFB8] (reporting strategy default)>
2025-08-21 00:35:43.034841-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (Network) [com.apple.network:activity] Set activity <nw_activity 50:1 [C7C33207-D770-49CB-81EC-00CB9E486B15] (reporting strategy default)> as the global parent
2025-08-21 00:35:43.035073-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Ending background task with UIBackgroundTaskIdentifier: 1
2025-08-21 00:35:43.035172-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Ending task with identifier 1 and description: <_UIBackgroundTaskInfo: 0x600001708d00>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 44412 (elapsed = 0), _expireHandler: (null)
2025-08-21 00:35:43.035252-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Decrementing reference count for assertion <BKSProcessAssertion: 0x600002102080> (used by background task with identifier 1: <_UIBackgroundTaskInfo: 0x600001708d00>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 44412 (elapsed = 0))
2025-08-21 00:35:43.035333-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Target list changed: <CADisplay:LCD PurpleMain>
2025-08-21 00:35:43.035663-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:com.claudecode.ui-default  persistentID: 7527E762-B4AA-4A19-B529-28EBE638079D
2025-08-21 00:35:43.036257-0400 0x105dbc   Activity    0x375c93             82435  0    ClaudeCodeUI: (CoreFoundation) Updating Key-Value Observers Of Preferences
2025-08-21 00:35:43.038232-0400 0x105e0b   Activity    0x375c94             82435  0    ClaudeCodeUI: (RunningBoardServices) didChangeInheritances
2025-08-21 00:35:43.062198-0400 0x105e0b   Activity    0x375c95             82435  0    ClaudeCodeUI: (RunningBoardServices) didChangeInheritances
2025-08-21 00:35:43.076582-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Will add backgroundTask with taskName: CoreData: Adding persistent store, expirationHandler: <__NSGlobalBlock__: 0x1e6e54040>
2025-08-21 00:35:43.076625-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Reusing background assertion <BKSProcessAssertion: 0x600002102080>
2025-08-21 00:35:43.076639-0400 0x105dbc   Default     0x0                  82435  0    ClaudeCodeUI: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002102080>
